SEASON,RUNNERUP
2007/08,Chennai Super Kings
2007/08,Chennai Super Kings
2009,Royal Challengers Bangalore
2009,Royal Challengers Bangalore
2009/10,Mumbai Indians
2009/10,Mumbai Indians
2011,Royal Challengers Bangalore
2011,Royal Challengers Bangalore
2012,Chennai Super Kings
2012,Chennai Super Kings
2013,Chennai Super Kings
2013,Chennai Super Kings
2014,Kings XI Punjab
2014,Kings XI Punjab
2015,Chennai Super Kings
2015,Chennai Super Kings
2016,Royal Challengers Bangalore
2016,Royal Challengers Bangalore
2017,Rising Pune Supergiant
2017,Rising Pune Supergiant
2018,Sunrisers Hyderabad
2018,Sunrisers Hyderabad
2019,Chennai Super Kings
2019,Chennai Super Kings
2020/21,Delhi Capitals
2020/21,Delhi Capitals
2021,Kolkata Knight Riders
2021,Kolkata Knight Riders
2022,Rajasthan Royals
2022,Rajasthan Royals
2023,Gujarat Titans
2023,Gujarat Titans
2024,Sunrisers Hyderabad
2024,Sunrisers Hyderabad
2025,Punjab Kings
2025,Punjab Kings
